2026-03-19 22:04:25 | INFO     | backtester.visualization.plots | All plots saved to C:\Users\viren\Downloads\Algo strategy\.claude\worktrees\pensive-khayyam\outputs\btst_supertrend_breakout\plots (4 files)
2026-03-19 22:04:25 | INFO     | __main__                       | ----------------------------------------
2026-03-19 22:04:25 | INFO     | __main__                       | STEP 8: Saving Outputs
2026-03-19 22:04:25 | INFO     | __main__                       | ----------------------------------------
2026-03-19 22:04:25 | INFO     | backtester.outputs.manager     | Trade log saved: C:\Users\viren\Downloads\Algo strategy\.claude\worktrees\pensive-khayyam\outputs\btst_supertrend_breakout\trades\btst_supertrend_breakout_trades.csv (752 trades)
2026-03-19 22:04:25 | INFO     | backtester.outputs.manager     | Metrics JSON saved: C:\Users\viren\Downloads\Algo strategy\.claude\worktrees\pensive-khayyam\outputs\btst_supertrend_breakout\reports\btst_supertrend_breakout_metrics.json
2026-03-19 22:04:25 | INFO     | backtester.outputs.manager     | Metrics CSV saved: C:\Users\viren\Downloads\Algo strategy\.claude\worktrees\pensive-khayyam\outputs\btst_supertrend_breakout\reports\btst_supertrend_breakout_metrics.csv
2026-03-19 22:04:25 | INFO     | backtester.outputs.manager     | Yearly metrics CSV saved: C:\Users\viren\Downloads\Algo strategy\.claude\worktrees\pensive-khayyam\outputs\btst_supertrend_breakout\reports\btst_supertrend_breakout_yearly.csv
2026-03-19 22:04:25 | INFO     | backtester.outputs.manager     | Equity curve saved: C:\Users\viren\Downloads\Algo strategy\.claude\worktrees\pensive-khayyam\outputs\btst_supertrend_breakout\reports\btst_supertrend_breakout_equity_curve.csv
2026-03-19 22:04:25 | INFO     | backtester.outputs.manager     | All outputs saved. Files: ['trade_log', 'metrics_json', 'metrics_csv', 'equity_curve']
2026-03-19 22:04:25 | INFO     | __main__                       | ======================================================================
2026-03-19 22:04:25 | INFO     | __main__                       | BACKTEST COMPLETE — 181.10 seconds
2026-03-19 22:04:25 | INFO     | __main__                       | Outputs saved to: C:\Users\viren\Downloads\Algo strategy\.claude\worktrees\pensive-khayyam\outputs\btst_supertrend_breakout
2026-03-19 22:04:25 | INFO     | __main__                       | ======================================================================
